epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1685.81,0.35995,1.75492,0.98726,0.3709,0.36615,0.29475,0.22917,0.85527,1.39679,0.85119,0.0734149,0.00664628,0.00664628
2,3375.57,0.3958,0.7399,0.98695,0.28562,0.03444,0.03231,0.02099,3.78581,6.67114,2.55998,0.0454302,0.011995,0.011995
3,6010.68,0.37749,0.71025,0.97884,0.35844,0.17449,0.09818,0.06756,2.44443,6.71329,1.75145,0.0161256,0.0160236,0.0160236
4,8269.92,0.34901,0.61117,0.969,0.26656,0.15389,0.06463,0.0449,2.74816,17.735,1.67676,0.01406,0.01406,0.01406
5,13109.1,0.289,0.50924,0.95363,0.05007,0.24188,0.08489,0.05741,2.33799,12.7662,1.58207,0.01208,0.01208,0.01208
